board_size,max_exponent,total_states
2,3,70
2,4,198
2,5,350
2,6,478
2,7,478
2,8,478
2,9,478
2,10,478
2,11,478
3,3,8461
3,4,128889
3,5,975045
3,6,4702959
3,7,16418531
3,8,44971485
3,9,102037195
3,10,201032939
3,11,330122597
4,3,675154
