board_size,max_exponent,total_states
2,3,16
2,4,36
2,5,58
2,6,74
2,7,74
2,8,74
2,9,74
2,10,74
2,11,74
3,3,1187
3,4,16835
3,5,124373
3,6,594047
3,7,2064919
3,8,5643585
3,9,12789512
3,10,25179013
3,11,41325017
4,3,84660
4,4,23482822
4,5,1566798893
4,6,40646569344
