board_size,max_exponent,total_states
2,3,82
2,4,257
2,5,626
2,6,1297
2,7,2402
2,8,4097
2,9,6562
2,10,10001
2,11,14642
3,3,19684
3,4,262145
3,5,1953126
3,6,10077697
3,7,40353608
3,8,134217729
3,9,387420490
3,10,1000000001
3,11,2357947692
4,3,43046722
4,4,4294967297
4,5,152587890626
4,6,2821109907457
4,7,33232930569602
4,8,281474976710657
4,9,1853020188851842
4,10,10000000000000001
4,11,45949729863572162
