board_size,max_exponent,max_resolve_depth,start_states,states,mean_successor_states,median_successor_states,max_successor_states,bz2_size,mean_start_state_value
2,2,0,5,3.8,4,8,170,19.522429024852276
2,2,1,4,3.75,6.0,8,162,19.52241644976445
2,3,0,17,6.176470588235294,4,16,353,17.171251452344787
2,3,1,13,6.153846153846154,4,16,309,17.171270775446594
2,3,2,10,5.9,6.0,12,276,17.171162829813994
2,4,0,37,6.702702702702703,4,16,560,13.138063145819096
2,4,1,33,7.090909090909091,4,16,547,13.138357241277413
2,4,2,31,7.258064516129032,6,16,523,13.138304487305101
2,4,3,30,7.4,8.0,16,521,13.13811689873848
2,5,0,59,6.203389830508475,4,16,762,0.8061065445868146
2,5,1,57,6.333333333333333,4,16,752,0.8061203597922372
2,5,2,56,6.410714285714286,4.0,16,749,0.8061293683886909
2,5,3,56,6.410714285714286,4.0,16,742,0.8061293683886909
2,6,0,75,5.92,4,16,865,0.0
2,6,1,74,5.9324324324324325,4.0,16,872,0.0
2,6,2,72,6.027777777777778,4.0,16,855,0.0
2,6,3,71,6.070422535211268,4,16,854,0.0
2,7,0,75,5.92,4,16,865,0.0
2,7,1,74,5.9324324324324325,4.0,16,872,0.0
2,7,2,72,6.027777777777778,4.0,16,855,0.0
2,7,3,71,6.070422535211268,4,16,854,0.0
3,2,0,24,10.833333333333334,9.0,32,503,19.590497376960094
3,2,1,7,5.571428571428571,8,8,208,19.590298311876676
3,3,0,1188,15.86952861952862,10.0,56,18207,17.027659703154082
3,3,1,355,15.969014084507043,12,56,6280,17.027659703154082
3,3,2,96,16.239583333333332,12.5,44,2070,17.027659703154082
3,4,0,16836,16.95735329056783,16.0,56,457883,13.239213388603407
3,4,1,9831,17.73085138846506,16,56,252653,13.239213388603407
3,4,2,4600,17.14086956521739,14.0,56,101836,13.239213388603407
4,2,0,89,18.314606741573034,16,60,1634,19.57024019644557
4,2,1,16,6.9375,8.0,8,252,19.570050371406076
4,3,0,84661,17.58300752412563,4,114,2563014,16.94071331428969
4,3,1,7877,22.608734289704202,17,112,266760,16.940713314289688
