delta36,action
h,2
1,2
g,2
6m,0
1,0
1,0
1,0
1,0
c,0
1,2
1,0
1,0
1,0
d,2
1,0
1,0
1,0
d,2
1,0
1,0
65,0
1,0
1,0
1,0
1,0
d,0
1,2
1,0
1,0
d,0
1,2
1,0
2xb,1
1,1
1,1
e,0
1,0
1,0
f,0
1,0
g,0
66,1
g,3
1,1
f,3
2,0
73,3
2xs,1
1,1
f,0
1,0
g,0
73,3
