delta36,action
1,1
1,0
1,0
1,0
1,0
1,0
d,0
2,0
1,0
56,2
1,2
1,2
e,0
1,0
1,0
1,0
1,1
c,2
1,2
1,2
1,2
1,2
d,2
1,0
1,0
1,1
1,2
1,2
c,1
1,1
1,0
1,2
1,1
57,2
1,2
f,0
1,1
f,2
1,2
2,2
d,2
1,2
2,2
1,2
1,2
e,2
66,0
g,2
3,2
1,2
74,2
256,1
1,1
1,1
1,1
b,3
1,3
1,0
1,2
1,1
1,1
1,1
b,0
2,0
1,1
1,1
1,1
1,2
1,1
9,0
1,0
1,0
1,0
2,1
1,1
1,1
56,3
1,3
1,3
e,3
1,3
1,3
1,3
1,3
a,1
2,1
1,0
1,0
1,0
1,1
1,0
b,1
1,1
1,1
1,1
1,0
1,0
1,1
c,1
1,0
1,1
1,1
1,1
d,1
v,1
1,1
v,1
1,1
31,3
1,3
1,3
e,0
1,0
1,0
1,1
1,0
a,3
1,2
1,2
1,2
1,2
1,1
1,1
b,0
2,1
1,0
1,0
1,0
1,0
1,0
a,0
1,0
1,1
1,0
1,0
1,0
1,0
1,0
c,1
1,0
g,1
c,2
2,0
1,0
e,0
1,0
g,0
1,0
31,3
1,3
1,3
e,1
1,0
1,0
3,0
9,3
1,2
1,0
1,0
1,0
1,0
1,1
1,0
1,0
8,3
1,2
1,0
2,0
2,1
2,1
c,1
2,0
2,0
1,0
c,1
1,0
1,0
1,0
1,0
d,1
t,0
i,0
31,3
1,3
f,1
1,1
1,3
3,1
1,1
8,3
1,2
2,1
1,0
1,1
2,1
1,0
9,0
1,1
2,0
1,0
1,0
1,0
1,0
1,1
8,0
1,0
1,0
2,0
1p,1
f,3
1,1
3k,2
e,3
1,1
3,0
3,0
1,0
8,3
1,3
1,1
2,1
3,0
1,0
1,0
8,2
1,1
2,0
3,1
1,1
9,0
1,0
1,0
1q,3
1,1
1,1
3j,1
e,3
1,2
2,0
5,1
9,3
1,1
5,0
1,0
a,1
1,1
5t,0
d,2
2,1
1,0
1,1
b,3
1,2
1,1
2,1
1,1
1,1
b,2
1,1
3,0
66,1
1,1
1,1
1,0
a,3
1,2
1,1
2,1
1,1
1,1
b,3
1,1
3,0
6o,1
1d7,1
1,0
1,1
1,0
1,0
1,0
1,0
1,0
a,0
1,3
1,1
1,0
1,0
1,0
1,2
1,2
c,1
2,0
2,0
d,1
4r,2
1,2
1,2
1,3
1,3
1,1
1,1
b,2
1,1
1,1
1,3
1,3
1,3
1,3
9,3
1,2
1,3
1,0
1,0
1,0
1,0
1,0
1,0
9,0
1,3
1,1
1,0
1,0
1,0
1,0
1,0
9,0
3,1
1,2
1,0
1,0
1,0
1,0
a,0
2,1
1,0
1,0
1,0
b,0
3,1
2,0
c,0
w,0
1,0
2z,2
1,2
1,2
1,3
1,3
e,2
1,0
1,0
1,0
1,0
1,0
9,2
1,2
1,2
1,0
1,1
1,1
1,1
1,2
1,2
9,0
1,2
1,1
1,0
1,0
1,2
1,2
1,2
c,1
2,2
1,0
1,2
1,0
c,1
1,0
1,0
1,0
e,1
b,0
1,2
1,2
f,2
i,2
1,0
30,2
1,2
1,3
1,3
e,2
1,3
1,3
3,3
1,3
8,2
1,2
1,2
1,0
1,0
1,0
1,0
1,0
1,0
8,2
1,0
1,2
1,1
1,1
2,1
2,1
a,2
2,1
2,2
2,2
d,1
1,2
g,2
h,2
b,2
1,2
i,2
30,2
1,2
1,3
f,2
1,3
1,3
3,3
1,3
8,2
1,2
1,2
1,0
1,0
1,0
1,0
1,0
1,0
9,0
1,2
2,0
3,0
1,0
1,0
c,1
19,2
g,2
f,0
1,2
3k,0
f,0
3,0
3,0
1,0
9,0
1,2
2,0
3,0
1,0
9,2
1,2
2,1
3,0
1,0
22,3
1,2
3j,0
f,0
2,0
1,0
4,0
9,2
1,2
f,0
1,2
1,2
f,2
1,2
5q,2
2,2
1,0
1,0
1,0
a,2
1,2
1,2
1,2
1,0
1,0
1,0
b,0
1,2
69,0
1,0
1,0
1,0
b,2
1,2
1,2
1,0
1,0
1,0
b,0
1,2
1,2
2,0
e,2
5u,0
g,0
d,2
1,2
1df,0
d,0
1,1
4,0
d,1
4u,2
1,1
1,1
2,3
1,3
9,2
1,2
1,2
1,3
1,3
1,3
1,3
1,3
9,2
1,1
1,3
1,0
1,0
1,0
1,0
1,0
b,3
1,0
1,0
1,0
1,0
1,0
b,3
1,1
1,2
1,2
1,0
1,0
1,0
b,2
1,1
2,0
1,0
g,0
e,0
1,1
f,0
1,0
c,3
1,0
1,0
1,0
2z,2
1,2
1,2
1,1
3,3
c,2
1,3
1,3
1,3
1,0
a,2
1,2
1,2
1,1
1,1
1,1
1,2
1,1
c,0
1,2
1,0
1,2
1,0
b,3
1,1
2,2
2,2
1,2
c,1
1,2
1,2
1,2
r,2
3,0
1,1
c,2
3,0
d,3
1,2
1,0
1,0
2z,2
1,2
1,2
g,2
1,3
2,3
1,3
1,3
b,2
1,2
1,2
1,2
1,2
1,2
b,2
1,1
2,1
2,1
1,1
b,1
1b,2
4,1
c,2
3i,2
h,2
1,2
1,3
d,2
2,3
1,2
4,2
9,0
1,0
1,2
1,0
1,0
2,0
1,0
d,1
5p,2
f,2
2,3
4,2
1,2
9,0
3,0
3,0
1,0
a,2
5s,2
f,2
2,2
e,0
1,0
5,0
1,0
62,2
1,2
1,3
d,2
2,2
1,2
1,2
1,0
b,2
1,2
2,0
1,0
1,0
65,2
1,3
d,2
2,2
1,2
1,2
1,0
b,0
1,0
1,2
1,0
1,0
1,0
71,2
2,0
1jl,3
2,3
c,2
1,3
1,3
2,3
9,2
3,3
1,2
1,2
1,2
1,2
1,2
a,1
1,3
1,2
1,2
2,2
1,2
c,0
1,0
1,0
1,0
c,3
w,3
w,3
32,2
i,2
2,3
2,3
9,2
2,1
1,2
2,1
1,2
1,1
1,2
b,3
1,2
1,2
1,2
1,2
1,2
d,0
1,0
1,0
c,3
1s,3
40,2
1,2
1,2
1,2
1,2
1,2
d,1
2,1
f,0
1,0
1,0
63,3
g,2
77,2
1,2
6h,2
m,2
6l,3
g,2
6l,2
3,3
g,2
1r5,2
e,2
2,3
2,2
1,2
c,2
1,3
2,2
1,2
c,1
5t,2
g,2
2,2
1,2
1,2
c,3
2,2
1,2
c,1
1,3
1,2
1,2
1,2
65,2
f,1
4,1
c,1
2qn,2
3,3
1,2
1,2
e,3
1,2
1,2
6j,2
j,2
1,2
1,2
f,2
1,2
66,2
x,2
1,2
2q3,2
i,2
f,2
1,2
1,2
1,3
d,1
3,3
62,2
2,2
j,2
1,2
6o,2
a,2
1,2
2,1
k,2
2r2,2
1,2
6i,2
2,2
1,2
i,2
1,2
g,2
2x9,3
1,3
f,2
1,2
1,2
d,1
1,2
1,2
1,2
1,2
d,1
5s,2
g,2
1,2
e,2
1,2
1,2
1,2
1,2
d,1
1,2
1,2
1,2
63,1
i,1
lhp,0
1,0
1,0
d,2
1,2
1,2
1,2
1,2
c,0
1,0
1,0
1,2
1,1
f,0
1,1
5p,0
1,1
1,2
1,2
d,0
1,2
1,2
1,2
d,0
1,1
1,0
1,0
1,0
1,1
c,1
1,1
1,1
1,1
1,2
1,2
1,2
5m,2
1,2
1,2
e,0
1,0
1,0
2,0
c,0
1,0
1,2
f,1
2,0
1,0
1,0
1,0
d,0
1,0
1,0
58,2
1,2
f,0
1,0
f,0
1,0
f,2
1,2
2,2
2,2
6k,0
g,2
2ce,0
1,0
1,0
d,0
1,0
1,3
1,3
1,3
c,0
2,0
1,0
1,0
1,0
1,2
1,0
c,0
4,0
56,3
1,3
1,3
d,2
1,0
1,2
1,2
1,1
1,1
c,1
1,0
1,0
1,0
1,0
1,0
a,2
1,0
1,1
1,0
1,0
1,0
1,0
1,0
a,0
1,0
1,1
1,0
1,0
1,0
1,0
a,0
1,0
2,1
d,0
1,0
1,0
g,0
1,0
f,0
g,0
1,0
31,0
1,3
1,3
d,3
1,0
1,0
1,0
1,0
1,0
1,0
1,0
a,0
1,1
1,3
1,3
1,3
1,3
1,3
9,0
1,0
1,1
1,0
1,0
1,0
1,0
1,0
9,0
1,0
1,0
1,1
1,0
1,0
1,0
1,0
1,0
c,1
1,0
d,0
3,1
e,0
1,0
2,1
c,0
1,0
g,0
1,0
31,3
1,3
1,3
c,2
2,0
1,0
1,0
1,0
1,0
1,0
1,0
9,0
1,1
1,0
1,0
2,0
1,0
1,0
8,0
1,3
1,0
2,0
2,1
2,1
9,2
3,1
1,2
2,0
f,0
18,0
1,0
i,0
31,2
1,3
d,2
2,0
1,0
1,0
3,0
1,0
9,0
2,0
1,0
1,0
2,0
1,0
9,3
1,0
1,0
1,2
1,0
2,0
1,0
9,0
1,0
3,0
18,3
1,0
g,0
f,3
1,0
3k,2
1,0
e,0
3,0
3,0
1,0
9,3
1,0
2,2
3,0
1,0
9,3
1,0
1,2
1,0
3,0
1,0
9,0
1,0
v,3
1,0
v,3
1,0
1,0
3j,2
1,0
e,0
2,0
e,0
1,0
f,3
1,0
w,0
4w,0
1,0
1,0
d,0
1,3
1,0
1,0
1,0
b,3
1,3
1,0
2,0
1,0
c,3
1,0
1,0
2,0
19,0
4g,0
1,0
1,0
e,3
1,0
1,0
1,0
b,3
1,3
1,0
1,2
1,0
1,0
c,3
1,0
3,0
1jy,1
1,1
1,1
1,1
b,0
1,3
1,0
1,0
1,1
1,1
e,0
2,1
2,1
d,0
4s,2
1,2
1,1
1,3
d,2
1,2
1,1
1,1
1,2
1,2
1,2
a,0
2,1
1,1
1,1
1,1
1,0
1,0
a,3
1,1
1,1
1,1
1,1
1,0
1,1
a,3
2,1
1,1
1,1
1,1
1,1
d,1
1,1
1,1
1,1
e,1
1,1
1,1
c,1
3,1
t,1
1,1
1,1
2z,2
1,2
1,3
1,3
d,2
1,3
1,1
1,0
1,1
1,1
1,0
1,0
a,0
1,3
1,3
1,3
1,3
1,3
1,3
a,3
1,1
1,1
1,1
1,1
1,0
1,0
9,2
3,1
1,0
1,1
2,1
d,1
2,1
1,1
e,1
c,3
1,1
1,1
1,1
2,1
b,3
1,1
h,1
1,1
1,1
2z,2
1,2
1,3
1,3
c,3
2,3
1,0
1,0
2,1
1,0
1,0
9,0
1,2
1,0
1,0
1,0
1,1
1,0
1,0
8,3
1,0
1,2
2,0
4,2
f,0
1n,3
1,0
3i,3
1,2
g,3
1,1
1,0
3,0
1,0
9,0
1,2
1,1
1,0
1,1
2,0
1,0
9,0
1,2
2,0
3,0
1,0
9,0
4,0
19,2
g,2
f,0
1,2
3k,0
f,2
7,3
9,0
1,2
5,0
1,0
9,0
1,1
2,0
3,1
a,0
1,3
w,3
v,0
1,3
1,1
3j,3
1,0
e,2
2,2
e,0
1,0
g,2
5s,3
1,1
1,1
d,1
1,2
1,1
1,1
1,3
1,3
b,2
1,2
2,1
1,1
d,3
1,1
5r,3
1,1
1,1
e,2
1,1
1,1
1,3
c,2
1,2
1,0
1,1
1,1
c,0
1,2
74,3
1du,1
5b,2
4,3
1,3
9,2
1,2
1,2
1,1
1,1
1,1
1,2
1,2
b,2
1,3
1,3
1,3
1,0
1,0
b,3
1,0
1,0
1,0
2,0
b,3
1,1
1,2
2,2
1,2
d,1
2,0
1,0
e,1
1,0
1,0
9,2
2,3
4,1
1,0
1,0
d,0
d,3
1,2
1,0
1,0
1,0
2y,2
1,2
1,2
e,2
1,2
1,3
2,2
1,2
1,0
1,0
9,2
1,2
1,1
1,3
1,3
1,3
2,1
b,3
1,0
1,0
1,0
2,0
b,3
1,1
h,1
y,1
1,0
b,3
g,3
1,0
31,2
1,2
h,3
3,2
d,2
1,3
2,3
1,0
1,0
c,1
2,2
64,2
1,2
e,3
2,2
1,3
4,3
9,0
1,0
2,0
h,1
64,3
m,0
1,0
6h,3
g,0
1,0
68,2
h,2
1,3
1,3
1,3
c,2
2,0
1,0
1,0
6l,2
1,3
1,3
c,0
1,0
2,0
1,0
1r1,2
1,2
1,2
2,1
2,1
c,2
1,3
1,3
1,2
1,3
b,2
1,3
1,2
1,2
1,2
1,2
c,3
1,0
1,0
1,0
1,0
c,3
1,2
i,0
1,0
c,3
3,1
1,0
f,0
d,3
1,0
1,0
30,2
g,2
1,2
3,2
2,2
9,2
3,2
1,3
1,3
2,3
b,1
1,3
1,0
1,0
1,0
1,0
c,3
2,0
1,0
1,0
c,3
1,1
i,0
1,0
c,3
3,1
t,3
41,2
1,3
g,1
ry,2
g,3
6l,2
3,2
g,3
1r2,2
1,2
2,2
g,2
2,2
1,3
d,3
3,2
c,1
1,3
25,2
43,2
2,3
1,3
d,3
2,2
1,2
c,1
1,3
68,2
v,1
2q6,2
1,2
1,2
i,2
1,3
1,3
e,3
1,2
1,2
f,2
1,2
5n,2
j,2
g,3
1,2
1,2
f,2
1,2
66,2
y,2
2ql,3
2,2
a,2
2,2
2,2
2,3
1,2
1,2
b,2
3,3
1,2
61,2
2,1
4,2
g,3
1,2
c,1
3,3
68,2
b,2
2qq,2
y,2
1,2
g,2
5p,2
f,2
k,2
g,2
2xp,3
1,3
1,3
d,2
1,2
1,2
1,2
1,2
d,2
1,2
1,2
c,2
5u,3
1,3
1,3
d,1
1,0
1,2
1,2
1,2
d,1
66,1
i,1
ov2,0
2,1
1,1
1,1
1,2
b,2
2,0
1,0
1,0
1,0
c,1
1,3
4,3
e,0
2,0
f,0
f,1
b,0
1,0
z,0
3g,0
1,0
1,0
4,0
1,0
9,0
1,0
h,1
5,0
1a,1
d,0
g,0
i,0
3h,0
1,0
1,0
1,0
1,0
1,0
1,0
b,0
1,0
1,0
1,0
1,0
1,0
9,0
1,0
1,0
6,3
1l,0
g,0
1,0
40,0
1,0
1,0
2,0
1,0
1,0
a,0
1,0
3,0
1,0
9,0
3,0
3,0
64,0
1,0
3,0
1,0
b,0
32,3
1,0
3l,0
e,0
2,0
u,3
5t,0
1,0
1,0
1,0
c,2
2,0
1,0
g,0
66,0
1,0
1,0
1,0
e,0
1,0
6o,0
v,3
1jz,2
2,1
1,2
2,2
b,2
2,0
2,0
1,0
d,3
l,0
15,3
4f,0
2,0
4,0
1,0
9,0
1,2
6o,3
1,0
1,0
1,0
1,0
1,0
1,0
b,0
1,0
1,0
2,0
1,0
6j,2
1,0
3,0
1,0
b,0
4,0
1,0
c,0
67,0
g,0
6o,0
e,0
6p,3
1,0
1,0
f,0
1,0
6m,3
1,0
1,0
f,0
1,0
1ro,2
c,1
g,1
g,1
2,1
1,1
1,1
g,1
e,1
h,1
t,1
1,1
3n,0
s,1
i,1
1d,1
t,1
2v8,2
h,2
b,2
2,3
1,3
1,3
g,0
d,2
i,0
1,0
f,2
t,3
4i,3
2m,3
2v7,2
x,3
d,3
34h,2
w,2
h,2
1,2
5q,3
2yj,2
1,2
g,2
l,2
g,2
6o,2
64d,3
1,3
f,2
6o,3
g,2
p2s,0
63,0
2,0
2,0
c,0
l,0
62,0
3,0
1,0
1,0
1,0
1,0
9,0
4,0
2,0
73,0
6j,0
1,0
74,0
g,0
6n,0
1,0
h,0
6n,0
g,0
e,0
1,0
69,0
1ma,3
5u,0
c,0
6r,0
2,0
a,0
kx,0
73,3
75,0
4ya,1
15b3,2
e6,0
2l2,3
9g0,1
125p,2
5d,2
g,2
1b,2
e5,0
1,0
5c,0
g,0
2eq,0
l9,0
1arl,0
1,0
w,0
66,0
1,0
1,0
g,0
3,2
d,0
66,0
1,0
g,0
f,0
1,0
kw,0
25s,0
x,0
66,0
80,3
1azl,0
1,0
72,0
1,0
1,0
g,0
6m,0
1,0
g,0
2r4,0
73,0
1,0
1b0y,0
7z,1
5s,0
g,0
6n,0
g,0
v,0
2j7,0
8f,0
5s,0
g,0
6n,0
g,0
v,0
9pz2,2
1,2
1,3
1,3
1,3
e,3
1,3
1,3
1,3
c,0
1,3
1,3
1,3
1,3
1,3
b,0
2,3
1,3
1,3
1,3
1,3
1,3
9,0
1,0
1,0
1,3
2,3
2,3
56,3
1,3
1,3
e,3
1,3
1,3
1,3
1,3
c,1
1,3
1,0
1,0
1,1
1,0
b,1
1,1
1,1
1,3
1,3
1,3
1,3
c,1
1,3
1,3
1,1
1,3
d,1
v,3
w,3
1,3
31,2
1,2
1,2
e,0
1,0
1,0
1,1
1,0
c,2
1,0
1,1
1,1
1,1
d,1
1,0
1,0
1,0
1,0
1,0
a,0
1,0
1,1
1,0
1,0
1,0
1,0
1,0
c,1
1,0
g,1
c,2
2,0
f,0
1,0
g,0
1,0
32,2
1,1
f,0
1,0
3,0
c,0
1,0
1,0
1,1
1,0
1,0
c,0
2,1
2,1
c,1
2,0
2,0
1,0
d,0
1,0
1,0
1,0
d,1
t,0
41,0
3,1
1,1
c,0
1,1
2,1
1,0
c,0
1,0
1,0
1,0
1,0
1,1
c,0
6a,0
1,0
f,0
1,0
1,0
e,1
1,1
68,1
f,0
1,0
f,1
1x5,2
1,2
1,2
1,3
1,1
1,3
c,2
1,2
1,3
1,3
1,1
1,1
d,1
1,3
1,3
1,3
1,3
a,0
1,2
1,1
1,3
1,3
1,3
1,3
d,3
2,3
2,3
d,3
4r,2
1,2
1,2
1,3
1,3
1,1
c,2
1,2
1,3
1,3
1,1
1,3
1,3
9,2
1,2
1,2
1,1
1,1
1,0
1,1
1,1
1,1
8,0
2,2
1,1
1,1
1,1
1,1
1,0
1,0
c,1
1,1
1,1
1,1
1,1
d,1
1,1
2,1
e,1
2,1
c,1
w,1
1,1
2z,3
1,2
1,3
1,2
1,1
c,3
1,1
1,3
1,1
1,1
1,1
1,1
1,1
9,1
1,0
1,3
1,0
1,1
1,1
1,1
1,2
1,2
9,1
1,3
1,1
1,1
1,1
1,1
1,1
1,1
c,1
1,1
1,1
1,1
1,1
1,1
c,1
1,1
2,1
e,1
b,1
1,1
1,1
f,1
2,1
g,1
1,1
2z,3
1,0
1,3
1,2
1,1
c,3
1,2
1,3
1,1
1,1
3,1
1,1
8,3
1,1
1,3
1,1
1,1
1,1
1,1
1,1
1,1
8,1
1,0
1,0
1,1
1,1
2,1
2,1
a,1
2,1
2,1
2,1
d,1
1,1
g,1
h,1
b,1
1,1
i,1
2z,3
1,0
1,3
1,2
d,3
1,2
1,3
1,1
1,1
3,1
1,1
8,3
1,1
1,3
1,1
1,1
1,1
1,0
1,1
1,0
8,3
1,1
1,1
1,1
1,2
1,0
2,1
1,1
1,1
7,1
2,0
1,0
2,1
19,1
g,1
f,1
1,1
3k,1
e,0
1,0
3,1
3,0
1,0
8,3
1,1
1,1
2,0
3,1
1,1
1,1
8,1
1,1
2,1
3,1
1,1
a,0
1s,1
1,1
3i,0
1,1
f,1
2,1
1,0
4,0
8,3
1,1
1,1
1,0
4,1
a,1
1,1
1,1
f,1
1,1
g,0
4w,1
e,1
2,1
1,1
1,0
1,0
a,3
1,1
1,1
1,2
1,1
1,1
1,1
b,1
1,1
3,1
66,1
1,0
1,0
1,0
b,1
1,1
1,0
1,1
1,1
1,1
b,1
1,1
1,1
2,1
e,1
5u,0
g,1
d,1
1,1
1c0,2
1,3
d,2
2,2
1,1
1,1
1,1
1,3
1,3
9,2
1,1
1,2
1,3
1,3
1,3
1,3
e,3
1,3
d,1
1,3
4,3
d,3
4u,2
1,1
d,2
1,2
1,2
1,1
1,3
1,3
1,3
c,1
1,1
1,1
1,1
1,1
1,1
c,1
1,1
1,1
1,0
1,1
b,2
1,1
1,1
1,1
1,1
1,1
d,1
2,1
1,1
g,1
17,1
1,1
1,1
1,1
2z,2
1,2
1,3
1,1
e,2
1,3
2,1
1,1
1,1
a,2
1,2
1,2
1,1
1,1
1,1
e,0
1,1
1,1
1,0
1,1
b,1
1,1
2,1
2,1
d,1
1,1
1,1
1,1
r,1
4,1
c,1
g,1
1,1
1,1
30,2
1,2
1,3
e,2
1,1
1,3
1,1
2,1
1,1
1,1
9,1
2,3
1,1
1,1
1,1
1,1
1,1
b,1
1,1
2,1
2,1
1,1
b,1
1b,1
4,1
c,1
3i,0
h,1
1,1
1,1
d,1
2,3
1,1
4,1
9,0
1,0
1,1
1,1
1,0
2,1
1,0
d,1
5p,1
f,1
2,1
4,1
1,1
9,0
3,0
3,0
1,0
a,1
5s,1
f,1
2,1
e,0
1,1
5,0
1,0
62,1
1,3
1,1
d,1
2,1
1,1
1,1
1,1
b,1
1,1
2,0
1,0
1,0
65,3
1,1
d,1
2,3
1,1
1,1
1,1
b,0
1,1
1,3
1,0
1,0
1,0
71,3
2,0
1cs,2
1,2
1,2
1,1
2,3
2,3
c,2
2,3
2,3
b,2
1,2
4,3
5q,1
2,1
c,1
2,3
2,3
c,1
1,1
1,1
1,1
1,1
c,2
1,1
1,1
2,1
e,1
1,0
1,3
c,2
w,2
w,1
32,2
g,2
2,3
2,1
2,1
9,2
2,2
1,2
2,2
1,2
1,2
1,2
b,1
1,1
1,1
1,2
1,1
e,1
1,1
1,1
c,1
1s,1
40,2
1,1
1,1
1,1
1,1
1,2
d,1
2,1
f,1
1,1
1,1
63,1
g,3
77,1
1,1
6h,1
m,1
6l,1
g,1
6l,1
3,3
g,1
1kh,2
g,2
68,2
g,1
3,1
d,2
3,1
c,1
5t,3
g,2
2,2
1,2
1,2
c,3
2,2
1,1
c,1
1,3
1,2
1,2
1,1
65,1
f,1
4,2
c,1
2qr,1
1,1
e,2
1,1
1,1
6j,2
j,3
1,2
1,1
f,2
1,2
66,1
x,2
1,2
2q3,2
i,1
f,1
1,1
2,2
6i,2
2,2
k,3
6o,1
a,2
1,2
2,1
k,2
2r3,1
6i,2
2,2
1,2
j,2
g,2
2xp,1
1,1
1,1
e,1
1,1
1,1
1,1
d,1
6n,1
1,1
1,1
1,1
1,1
d,1
1,1
1,1
1,1
63,1
i,1
ooe,0
1,3
1,3
1,3
1,3
1,3
c,0
1,3
1,3
1,3
1,3
1,3
c,3
2,3
2,3
d,3
1r,3
1,3
3x,3
1,1
1,1
1,0
1,1
1,0
c,1
1,1
1,3
1,1
1,3
1,1
c,1
1,3
1,3
1,1
1,3
d,1
g,3
1,1
c,0
2,3
1,3
e,1
1,3
1,3
1,3
e,3
1,3
31,3
1,3
1,3
e,0
1,0
1,0
1,1
1,0
1,0
1,0
a,2
1,0
1,1
1,1
1,1
2,2
a,0
1,1
1,0
1,1
1,0
1,2
1,0
a,0
1,1
1,1
1,0
1,1
1,1
1,0
1,0
c,1
1,0
1,0
1,0
1,0
c,0
1,1
d,1
1,1
1,1
1,0
1,1
c,0
1,0
1,1
f,0
1,0
2,0
30,3
1,3
f,0
1,0
3,0
1,0
b,0
1,0
1,1
1,1
1,0
1,0
b,0
1,0
1,1
1,1
1,1
1,1
1,1
b,1
2,1
1,0
1,0
1,1
c,1
2,0
2,1
d,1
1,0
g,1
c,0
h,0
1,1
3m,1
1,1
c,0
1,1
2,1
1,0
c,2
1,0
2,1
1,1
1,1
b,0
1,0
2,1
1,1
1,0
d,1
1,0
2,0
e,0
1,1
g,0
1,0
s,1
41,1
1,0
1,0
1,0
e,0
1,0
1,0
e,0
1,0
1,0
d,0
1,1
1,1
1,0
e,0
5c,1
1,1
f,0
1,0
f,0
1,0
f,1
1,1
1wo,2
1,2
1,2
1,3
1,3
1,3
1,3
c,2
1,3
1,3
1,3
1,3
1,3
a,2
1,3
1,3
1,3
1,3
1,3
1,3
1,3
9,0
1,3
1,3
1,3
1,3
1,3
1,3
1,3
9,0
3,3
1,3
1,3
1,3
1,3
1,0
a,0
2,3
2,1
1,1
b,0
3,3
2,1
18,3
1,1
3y,3
1,1
1,1
1,1
1,2
1,3
a,2
1,3
1,1
1,3
1,3
1,3
1,3
a,2
1,1
1,3
1,1
1,1
1,3
1,3
d,3
1,3
g,3
b,3
1,2
1,3
1,3
e,2
1,3
1,3
f,1
1,1
1,1
1,1
2z,2
1,3
1,3
1,3
d,2
1,0
1,0
1,0
1,1
1,1
1,0
1,0
8,3
1,0
1,3
1,2
1,1
1,1
1,1
1,2
1,2
9,0
1,0
1,1
1,1
1,1
1,1
1,2
1,2
1,0
8,0
1,3
1,1
1,1
1,1
1,1
1,0
1,1
1,0
c,1
1,1
1,1
1,1
b,1
3,1
2,1
1,1
8,1
1,3
1,0
1,0
1,1
2,1
1,1
1,1
9,3
1,1
1,1
1,1
e,1
1,1
1,1
1,1
2z,2
1,3
1,3
1,3
e,3
1,0
1,0
1,3
1,1
1,0
1,0
9,2
1,3
1,0
1,0
1,0
1,2
1,0
1,0
1,0
7,3
1,0
2,0
1,0
1,1
1,1
1,2
1,1
1,0
8,0
1,0
2,1
