max_exponent,state
7,"[2, 4, 16, 32, 64]"
7,"[2, 2, 4, 16, 32, 64]"
7,"[4, 4, 8, 8, 32, 64]"
7,"[4, 4, 16, 32, 64]"
7,"[2, 4, 4, 16, 32, 64]"
7,"[2, 8, 16, 32, 64]"
7,"[2, 2, 8, 16, 32, 64]"
7,"[4, 4, 4, 16, 32, 64]"
7,"[4, 8, 16, 32, 64]"
7,"[2, 4, 8, 16, 32, 64]"
7,"[2, 2, 4, 8, 16, 32, 64]"
7,"[4, 4, 8, 16, 32, 64]"
7,"[2, 4, 4, 8, 16, 32, 64]"
7,"[2, 8, 8, 16, 32, 64]"
7,"[2, 2, 8, 8, 16, 32, 64]"
7,"[2, 2, 16, 16, 32, 64]"
7,"[4, 4, 4, 8, 16, 32, 64]"
7,"[4, 8, 8, 16, 32, 64]"
7,"[2, 4, 8, 8, 16, 32, 64]"
7,"[2, 4, 16, 16, 32, 64]"
7,"[2, 4, 32, 32, 64]"
7,"[2, 2, 4, 16, 16, 32, 64]"
7,"[2, 2, 4, 32, 32, 64]"
7,"[2, 2, 4, 64, 64]"
7,"[4, 4, 8, 8, 16, 32, 64]"
7,"[4, 4, 16, 16, 32, 64]"
7,"[4, 4, 32, 32, 64]"
7,"[2, 4, 4, 16, 16, 32, 64]"
7,"[2, 4, 4, 32, 32, 64]"
7,"[2, 4, 4, 64, 64]"
7,"[2, 4, 4, 128]"
7,"[2, 8, 16, 16, 32, 64]"
7,"[2, 8, 32, 32, 64]"
7,"[2, 8, 64, 64]"
7,"[2, 2, 8, 32, 32, 64]"
7,"[2, 2, 8, 64, 64]"
7,"[2, 2, 8, 128]"
7,"[4, 4, 4, 32, 32, 64]"
7,"[4, 4, 4, 64, 64]"
7,"[4, 4, 4, 128]"
7,"[4, 8, 16, 16, 32, 64]"
7,"[4, 8, 32, 32, 64]"
7,"[4, 8, 64, 64]"
7,"[2, 4, 8, 32, 32, 64]"
7,"[2, 4, 8, 64, 64]"
7,"[2, 4, 8, 128]"
7,"[2, 2, 4, 8, 64, 64]"
7,"[2, 2, 4, 8, 128]"
7,"[4, 4, 8, 32, 32, 64]"
7,"[4, 4, 8, 64, 64]"
7,"[4, 4, 8, 128]"
7,"[2, 4, 4, 8, 64, 64]"
7,"[2, 4, 4, 8, 128]"
7,"[2, 8, 8, 64, 64]"
7,"[2, 8, 8, 128]"
7,"[2, 2, 8, 8, 128]"
7,"[2, 2, 16, 128]"
7,"[4, 4, 4, 8, 128]"
7,"[4, 8, 8, 64, 64]"
7,"[4, 8, 8, 128]"
7,"[2, 4, 8, 8, 128]"
7,"[2, 4, 16, 128]"
7,"[4, 4, 16, 128]"
8,[]
8,"[2, 2]"
8,"[2, 4]"
8,"[2, 2, 4]"
8,"[4, 4]"
8,"[2, 4, 4]"
8,"[2, 8]"
8,"[2, 2, 8]"
8,"[4, 4, 4]"
8,"[4, 8]"
8,"[2, 4, 8]"
8,"[2, 2, 4, 8]"
8,"[4, 4, 8]"
8,"[2, 4, 4, 8]"
8,"[2, 8, 8]"
8,"[2, 2, 8, 8]"
8,"[2, 2, 16]"
8,"[4, 4, 4, 8]"
8,"[4, 8, 8]"
8,"[2, 4, 8, 8]"
8,"[2, 4, 16]"
8,"[2, 2, 4, 16]"
8,"[4, 4, 8, 8]"
8,"[4, 4, 16]"
8,"[2, 4, 4, 16]"
8,"[2, 8, 16]"
8,"[2, 2, 8, 16]"
8,"[4, 4, 4, 16]"
8,"[4, 8, 16]"
8,"[2, 4, 8, 16]"
8,"[2, 2, 4, 8, 16]"
8,"[4, 4, 8, 16]"
8,"[2, 4, 4, 8, 16]"
8,"[2, 8, 8, 16]"
8,"[2, 2, 8, 8, 16]"
8,"[2, 2, 16, 16]"
8,"[4, 4, 4, 8, 16]"
8,"[4, 8, 8, 16]"
8,"[2, 4, 8, 8, 16]"
8,"[2, 4, 16, 16]"
8,"[2, 4, 32]"
8,"[2, 2, 4, 16, 16]"
8,"[2, 2, 4, 32]"
8,"[4, 4, 8, 8, 16]"
8,"[4, 4, 16, 16]"
8,"[4, 4, 32]"
8,"[2, 4, 4, 16, 16]"
8,"[2, 4, 4, 32]"
8,"[2, 8, 16, 16]"
8,"[2, 8, 32]"
8,"[2, 2, 8, 32]"
8,"[4, 4, 4, 32]"
8,"[4, 8, 16, 16]"
8,"[4, 8, 32]"
8,"[2, 4, 8, 32]"
8,"[2, 2, 4, 8, 32]"
8,"[4, 4, 8, 32]"
8,"[2, 4, 4, 8, 32]"
8,"[2, 8, 8, 32]"
8,"[2, 2, 8, 8, 32]"
8,"[2, 2, 16, 32]"
8,"[4, 4, 4, 8, 32]"
8,"[4, 8, 8, 32]"
8,"[2, 4, 8, 8, 32]"
8,"[2, 4, 16, 32]"
8,"[2, 2, 4, 16, 32]"
8,"[4, 4, 8, 8, 32]"
8,"[4, 4, 16, 32]"
8,"[2, 4, 4, 16, 32]"
8,"[2, 8, 16, 32]"
8,"[2, 2, 8, 16, 32]"
8,"[4, 4, 4, 16, 32]"
8,"[4, 8, 16, 32]"
8,"[2, 4, 8, 16, 32]"
8,"[2, 2, 4, 8, 16, 32]"
8,"[4, 4, 8, 16, 32]"
8,"[2, 4, 4, 8, 16, 32]"
8,"[2, 8, 8, 16, 32]"
8,"[2, 2, 8, 8, 16, 32]"
8,"[2, 2, 16, 16, 32]"
8,"[4, 4, 4, 8, 16, 32]"
8,"[4, 8, 8, 16, 32]"
8,"[2, 4, 8, 8, 16, 32]"
8,"[2, 4, 16, 16, 32]"
8,"[2, 4, 32, 32]"
8,"[2, 2, 4, 16, 16, 32]"
8,"[2, 2, 4, 32, 32]"
8,"[2, 2, 4, 64]"
8,"[4, 4, 8, 8, 16, 32]"
8,"[4, 4, 16, 16, 32]"
8,"[4, 4, 32, 32]"
8,"[2, 4, 4, 16, 16, 32]"
8,"[2, 4, 4, 32, 32]"
8,"[2, 4, 4, 64]"
8,"[2, 8, 16, 16, 32]"
8,"[2, 8, 32, 32]"
8,"[2, 8, 64]"
8,"[2, 2, 8, 32, 32]"
8,"[2, 2, 8, 64]"
8,"[4, 4, 4, 32, 32]"
8,"[4, 4, 4, 64]"
8,"[4, 8, 16, 16, 32]"
8,"[4, 8, 32, 32]"
8,"[4, 8, 64]"
8,"[2, 4, 8, 32, 32]"
8,"[2, 4, 8, 64]"
8,"[2, 2, 4, 8, 64]"
8,"[4, 4, 8, 32, 32]"
8,"[4, 4, 8, 64]"
8,"[2, 4, 4, 8, 64]"
8,"[2, 8, 8, 64]"
8,"[2, 2, 8, 8, 64]"
8,"[2, 2, 16, 64]"
8,"[4, 4, 4, 8, 64]"
8,"[4, 8, 8, 64]"
8,"[2, 4, 8, 8, 64]"
8,"[2, 4, 16, 64]"
8,"[2, 2, 4, 16, 64]"
8,"[4, 4, 8, 8, 64]"
8,"[4, 4, 16, 64]"
8,"[2, 4, 4, 16, 64]"
8,"[2, 8, 16, 64]"
8,"[2, 2, 8, 16, 64]"
8,"[4, 4, 4, 16, 64]"
8,"[4, 8, 16, 64]"
8,"[2, 4, 8, 16, 64]"
8,"[2, 2, 4, 8, 16, 64]"
8,"[4, 4, 8, 16, 64]"
8,"[2, 4, 4, 8, 16, 64]"
8,"[2, 8, 8, 16, 64]"
8,"[2, 2, 8, 8, 16, 64]"
8,"[2, 2, 16, 16, 64]"
8,"[4, 4, 4, 8, 16, 64]"
8,"[4, 8, 8, 16, 64]"
8,"[2, 4, 8, 8, 16, 64]"
8,"[2, 4, 16, 16, 64]"
8,"[2, 4, 32, 64]"
8,"[2, 2, 4, 16, 16, 64]"
8,"[2, 2, 4, 32, 64]"
8,"[4, 4, 8, 8, 16, 64]"
8,"[4, 4, 16, 16, 64]"
8,"[4, 4, 32, 64]"
8,"[2, 4, 4, 16, 16, 64]"
8,"[2, 4, 4, 32, 64]"
8,"[2, 8, 16, 16, 64]"
8,"[2, 8, 32, 64]"
8,"[2, 2, 8, 32, 64]"
8,"[4, 4, 4, 32, 64]"
8,"[4, 8, 16, 16, 64]"
8,"[4, 8, 32, 64]"
8,"[2, 4, 8, 32, 64]"
8,"[2, 2, 4, 8, 32, 64]"
8,"[4, 4, 8, 32, 64]"
8,"[2, 4, 4, 8, 32, 64]"
8,"[2, 8, 8, 32, 64]"
8,"[2, 2, 8, 8, 32, 64]"
8,"[2, 2, 16, 32, 64]"
8,"[4, 4, 4, 8, 32, 64]"
8,"[4, 8, 8, 32, 64]"
8,"[2, 4, 8, 8, 32, 64]"
8,"[2, 4, 16, 32, 64]"
8,"[2, 2, 4, 16, 32, 64]"
8,"[4, 4, 8, 8, 32, 64]"
8,"[4, 4, 16, 32, 64]"
8,"[2, 4, 4, 16, 32, 64]"
8,"[2, 8, 16, 32, 64]"
8,"[2, 2, 8, 16, 32, 64]"
8,"[4, 4, 4, 16, 32, 64]"
8,"[4, 8, 16, 32, 64]"
8,"[2, 4, 8, 16, 32, 64]"
8,"[2, 2, 4, 8, 16, 32, 64]"
8,"[4, 4, 8, 16, 32, 64]"
8,"[2, 4, 4, 8, 16, 32, 64]"
8,"[2, 8, 8, 16, 32, 64]"
8,"[2, 2, 8, 8, 16, 32, 64]"
8,"[2, 2, 16, 16, 32, 64]"
8,"[4, 4, 4, 8, 16, 32, 64]"
8,"[4, 8, 8, 16, 32, 64]"
8,"[2, 4, 8, 8, 16, 32, 64]"
8,"[2, 4, 16, 16, 32, 64]"
8,"[2, 4, 32, 32, 64]"
8,"[2, 2, 4, 16, 16, 32, 64]"
8,"[2, 2, 4, 32, 32, 64]"
8,"[2, 2, 4, 64, 64]"
8,"[4, 4, 8, 8, 16, 32, 64]"
8,"[4, 4, 16, 16, 32, 64]"
8,"[4, 4, 32, 32, 64]"
8,"[2, 4, 4, 16, 16, 32, 64]"
8,"[2, 4, 4, 32, 32, 64]"
8,"[2, 4, 4, 64, 64]"
8,"[2, 4, 4, 128]"
8,"[2, 8, 16, 16, 32, 64]"
8,"[2, 8, 32, 32, 64]"
8,"[2, 8, 64, 64]"
8,"[2, 2, 8, 32, 32, 64]"
8,"[2, 2, 8, 64, 64]"
8,"[2, 2, 8, 128]"
8,"[4, 4, 4, 32, 32, 64]"
8,"[4, 4, 4, 64, 64]"
8,"[4, 4, 4, 128]"
8,"[4, 8, 16, 16, 32, 64]"
8,"[4, 8, 32, 32, 64]"
8,"[4, 8, 64, 64]"
8,"[2, 4, 8, 32, 32, 64]"
8,"[2, 4, 8, 64, 64]"
8,"[2, 4, 8, 128]"
8,"[2, 2, 4, 8, 64, 64]"
8,"[2, 2, 4, 8, 128]"
8,"[4, 4, 8, 32, 32, 64]"
8,"[4, 4, 8, 64, 64]"
8,"[4, 4, 8, 128]"
8,"[2, 4, 4, 8, 64, 64]"
8,"[2, 4, 4, 8, 128]"
8,"[2, 8, 8, 64, 64]"
8,"[2, 8, 8, 128]"
8,"[2, 2, 8, 8, 128]"
8,"[2, 2, 16, 128]"
8,"[4, 4, 4, 8, 128]"
8,"[4, 8, 8, 64, 64]"
8,"[4, 8, 8, 128]"
8,"[2, 4, 8, 8, 128]"
8,"[2, 4, 16, 128]"
8,"[2, 2, 4, 16, 128]"
