max_exponent,state
6,"[4, 8, 32, 32]"
6,"[4, 8, 64]"
6,"[2, 4, 8, 32, 32]"
6,"[2, 4, 8, 64]"
6,"[2, 2, 4, 8, 64]"
6,"[4, 4, 8, 32, 32]"
6,"[4, 4, 8, 64]"
6,"[2, 4, 4, 8, 64]"
6,"[2, 8, 8, 64]"
6,"[4, 8, 8, 64]"
7,[]
7,"[2, 2]"
7,"[2, 4]"
7,"[2, 2, 4]"
7,"[4, 4]"
7,"[2, 4, 4]"
7,"[2, 8]"
7,"[2, 2, 8]"
7,"[4, 4, 4]"
7,"[4, 8]"
7,"[2, 4, 8]"
7,"[2, 2, 4, 8]"
7,"[4, 4, 8]"
7,"[2, 4, 4, 8]"
7,"[2, 8, 8]"
7,"[2, 2, 8, 8]"
7,"[2, 2, 16]"
7,"[4, 4, 4, 8]"
7,"[4, 8, 8]"
7,"[2, 4, 8, 8]"
7,"[2, 4, 16]"
7,"[2, 2, 4, 16]"
7,"[4, 4, 8, 8]"
7,"[4, 4, 16]"
7,"[2, 4, 4, 16]"
7,"[2, 8, 16]"
7,"[2, 2, 8, 16]"
7,"[4, 4, 4, 16]"
7,"[4, 8, 16]"
7,"[2, 4, 8, 16]"
7,"[2, 2, 4, 8, 16]"
7,"[4, 4, 8, 16]"
7,"[2, 4, 4, 8, 16]"
7,"[2, 8, 8, 16]"
7,"[2, 2, 8, 8, 16]"
7,"[2, 2, 16, 16]"
7,"[4, 4, 4, 8, 16]"
7,"[4, 8, 8, 16]"
7,"[2, 4, 8, 8, 16]"
7,"[2, 4, 16, 16]"
7,"[2, 4, 32]"
7,"[2, 2, 4, 16, 16]"
7,"[2, 2, 4, 32]"
7,"[4, 4, 8, 8, 16]"
7,"[4, 4, 16, 16]"
7,"[4, 4, 32]"
7,"[2, 4, 4, 16, 16]"
7,"[2, 4, 4, 32]"
7,"[2, 8, 16, 16]"
7,"[2, 8, 32]"
7,"[2, 2, 8, 32]"
7,"[4, 4, 4, 32]"
7,"[4, 8, 16, 16]"
7,"[4, 8, 32]"
7,"[2, 4, 8, 32]"
7,"[2, 2, 4, 8, 32]"
7,"[4, 4, 8, 32]"
7,"[2, 4, 4, 8, 32]"
7,"[2, 8, 8, 32]"
7,"[2, 2, 8, 8, 32]"
7,"[2, 2, 16, 32]"
7,"[4, 4, 4, 8, 32]"
7,"[4, 8, 8, 32]"
7,"[2, 4, 8, 8, 32]"
7,"[2, 4, 16, 32]"
7,"[2, 2, 4, 16, 32]"
7,"[4, 4, 8, 8, 32]"
7,"[4, 4, 16, 32]"
7,"[2, 4, 4, 16, 32]"
7,"[2, 8, 16, 32]"
7,"[2, 2, 8, 16, 32]"
7,"[4, 4, 4, 16, 32]"
7,"[4, 8, 16, 32]"
7,"[2, 4, 8, 16, 32]"
7,"[2, 2, 4, 8, 16, 32]"
7,"[4, 4, 8, 16, 32]"
7,"[2, 4, 4, 8, 16, 32]"
7,"[2, 8, 8, 16, 32]"
7,"[2, 2, 8, 8, 16, 32]"
7,"[2, 2, 16, 16, 32]"
7,"[4, 4, 4, 8, 16, 32]"
7,"[4, 8, 8, 16, 32]"
7,"[2, 4, 8, 8, 16, 32]"
7,"[2, 4, 16, 16, 32]"
7,"[2, 4, 32, 32]"
7,"[2, 2, 4, 16, 16, 32]"
7,"[2, 2, 4, 32, 32]"
7,"[2, 2, 4, 64]"
7,"[4, 4, 8, 8, 16, 32]"
7,"[4, 4, 16, 16, 32]"
7,"[4, 4, 32, 32]"
7,"[2, 4, 4, 16, 16, 32]"
7,"[2, 4, 4, 32, 32]"
7,"[2, 4, 4, 64]"
7,"[2, 8, 16, 16, 32]"
7,"[2, 8, 32, 32]"
7,"[2, 8, 64]"
7,"[2, 2, 8, 32, 32]"
7,"[2, 2, 8, 64]"
7,"[4, 4, 4, 32, 32]"
7,"[4, 4, 4, 64]"
7,"[4, 8, 16, 16, 32]"
7,"[4, 8, 32, 32]"
7,"[4, 8, 64]"
7,"[2, 4, 8, 32, 32]"
7,"[2, 4, 8, 64]"
7,"[2, 2, 4, 8, 64]"
7,"[4, 4, 8, 32, 32]"
7,"[4, 4, 8, 64]"
7,"[2, 4, 4, 8, 64]"
7,"[2, 8, 8, 64]"
7,"[2, 2, 8, 8, 64]"
7,"[2, 2, 16, 64]"
7,"[4, 4, 4, 8, 64]"
7,"[4, 8, 8, 64]"
7,"[2, 4, 8, 8, 64]"
7,"[2, 4, 16, 64]"
7,"[2, 2, 4, 16, 64]"
7,"[4, 4, 8, 8, 64]"
7,"[4, 4, 16, 64]"
7,"[2, 4, 4, 16, 64]"
7,"[2, 8, 16, 64]"
7,"[2, 2, 8, 16, 64]"
7,"[4, 4, 4, 16, 64]"
7,"[4, 8, 16, 64]"
7,"[2, 4, 8, 16, 64]"
7,"[2, 2, 4, 8, 16, 64]"
7,"[4, 4, 8, 16, 64]"
7,"[2, 4, 4, 8, 16, 64]"
7,"[2, 8, 8, 16, 64]"
7,"[2, 2, 8, 8, 16, 64]"
7,"[2, 2, 16, 16, 64]"
7,"[4, 4, 4, 8, 16, 64]"
7,"[4, 8, 8, 16, 64]"
7,"[2, 4, 8, 8, 16, 64]"
7,"[2, 4, 16, 16, 64]"
7,"[2, 4, 32, 64]"
7,"[2, 2, 4, 16, 16, 64]"
7,"[2, 2, 4, 32, 64]"
7,"[4, 4, 8, 8, 16, 64]"
7,"[4, 4, 16, 16, 64]"
7,"[4, 4, 32, 64]"
7,"[2, 4, 4, 16, 16, 64]"
7,"[2, 4, 4, 32, 64]"
7,"[2, 8, 16, 16, 64]"
7,"[2, 8, 32, 64]"
7,"[2, 2, 8, 32, 64]"
7,"[4, 4, 4, 32, 64]"
7,"[4, 8, 16, 16, 64]"
7,"[4, 8, 32, 64]"
7,"[2, 4, 8, 32, 64]"
7,"[2, 2, 4, 8, 32, 64]"
7,"[4, 4, 8, 32, 64]"
7,"[2, 4, 4, 8, 32, 64]"
7,"[2, 8, 8, 32, 64]"
7,"[2, 2, 8, 8, 32, 64]"
7,"[2, 2, 16, 32, 64]"
7,"[4, 4, 4, 8, 32, 64]"
7,"[4, 8, 8, 32, 64]"
7,"[2, 4, 8, 8, 32, 64]"
