board_size,max_exponent,total_states
2,3,73
2,4,233
2,5,529
2,6,905
2,7,905
2,8,905
2,9,905
2,10,905
2,11,905
3,3,19665
3,4,261615
3,5,1933407
3,6,9814437
3,7,38369571
3,8,123560373
3,9,339166485
3,10,786513819
3,11,1400665575
4,3,43046689
4,4,4294901729
4,5,152544843841
4,6,2816814934817
4,7,33080342314753
4,8,278653849430401
4,9,1819786604950209
4,10,9718504608259073
4,11,44096167159459777
