"",2,3,4
8,73,"19,665","43,046,689"
16,233,"261,615","4,294,901,729"
32,537,"1,933,425","152,544,843,873"
64,"1,033","9,815,535","2,816,814,940,129"
128,"1,769","38,400,465","33,080,342,678,945"
256,"2,793","124,140,015","278,653,866,803,169"
512,"4,153","347,066,865","1,819,787,258,282,209"
1024,"5,897","865,782,255","9,718,525,023,289,313"
2048,"8,073","1,970,527,185","44,096,709,674,720,289"
