board_size,max_exponent,layer_sum,max_value,num_states
3,10,964,9,19684
3,10,96,5,15768
3,10,478,7,2402
3,10,800,9,49222
3,10,762,8,2750
3,10,1048,9,32581
3,10,738,8,4892
3,10,922,8,239
3,10,154,6,27409
3,10,722,8,11440
3,10,422,7,6411
3,10,264,7,31526
3,10,48,4,6054
3,10,824,9,58097
3,10,636,9,41695
3,10,944,8,72
3,10,756,9,36057
3,10,786,9,34062
3,10,1476,9,606
3,10,374,7,18113
3,10,334,7,27717
3,10,1174,9,23008
3,10,414,7,10544
3,10,758,8,4537
3,10,942,8,70
3,10,530,7,107
3,10,356,8,36637
3,10,1382,9,5127
3,10,472,8,52695
3,10,150,7,3164
3,10,754,8,3631
3,10,1238,9,13583
3,10,76,5,13751
3,10,164,5,116
3,10,894,8,34
3,10,68,4,3887
3,10,1106,9,28932
3,10,298,8,13432
3,10,278,7,35477
3,10,144,5,2179
3,10,86,4,488
3,10,630,8,21034
3,10,1056,9,35499
3,10,26,2,52
3,10,720,9,49223
3,10,118,6,20567
3,10,300,6,76
3,10,648,8,7680
3,10,908,8,85
3,10,136,6,25962
3,10,796,8,8091
3,10,536,7,86
3,10,44,3,563
3,10,838,9,38635
3,10,498,8,39461
3,10,1428,9,5433
3,10,100,4,2
3,10,1026,9,1398
3,10,162,6,27846
3,10,940,8,94
3,10,552,7,8
3,10,456,8,38113
3,10,1308,9,14327
3,10,304,6,39
3,10,328,8,26117
3,10,50,5,1907
3,10,622,8,29508
3,10,818,8,4591
3,10,238,6,6931
3,10,72,6,70
3,10,150,5,1015
3,10,382,7,16404
3,10,70,4,3369
3,10,616,9,38033
3,10,742,9,39846
3,10,1394,9,3594
3,10,684,8,20013
3,10,624,9,43766
3,10,628,8,20260
3,10,646,8,6450
3,10,558,8,44884
3,10,576,9,26483
3,10,458,7,1442
3,10,564,7,4
3,10,662,9,40537
3,10,456,7,1317
3,10,1196,9,24973
3,10,106,5,12541
3,10,1010,9,10734
3,10,1420,9,2053
3,10,276,8,2332
3,10,430,8,55522
3,10,644,9,29725
3,10,76,6,443
3,10,406,8,40480
3,10,670,8,23902
3,10,852,9,53505
3,10,168,5,52
3,10,194,6,18665
3,10,1292,9,2149
3,10,286,8,7173
3,10,1018,9,9152
3,10,948,8,58
3,10,568,9,22027
3,10,28,4,561
3,10,272,8,1079
3,10,800,8,7422
3,10,532,9,2223
3,10,424,7,6775
3,10,366,7,23084
3,10,1086,9,33345
3,10,1236,9,11897
3,10,52,4,6316
3,10,156,6,28448
3,10,816,8,5687
3,10,1494,9,1030
3,10,1362,9,10756
3,10,594,8,32560
3,10,1376,9,8018
3,10,318,8,24950
3,10,960,9,23863
3,10,724,8,10636
3,10,434,8,53360
3,10,60,3,1
3,10,592,9,31087
3,10,874,9,45817
3,10,912,8,154
3,10,360,7,18691
3,10,114,6,18642
3,10,1072,9,39573
3,10,282,6,450
3,10,538,7,72
3,10,158,6,30258
3,10,1168,9,17300
3,10,1132,9,25959
3,10,242,7,41342
3,10,80,5,14782
3,10,22,2,125
3,10,200,6,15357
3,10,70,5,11579
3,10,426,8,47311
3,10,658,9,35537
3,10,704,8,9745
3,10,596,9,30058
3,10,100,6,10585
3,10,922,9,51140
3,10,1304,9,12144
3,10,152,6,27988
3,10,64,4,4740
3,10,758,9,40850
3,10,556,7,6
3,10,450,8,41258
3,10,862,8,1129
3,10,220,6,11293
3,10,88,4,347
3,10,204,6,14871
3,10,876,8,556
3,10,634,8,17801
3,10,380,7,15788
3,10,212,7,30064
3,10,190,7,24974
3,10,520,8,19361
3,10,970,8,5
3,10,1028,9,2520
3,10,1478,9,498
3,10,1032,9,3396
3,10,850,8,1311
3,10,408,8,44767
3,10,950,9,43408
3,10,662,8,20963
3,10,784,8,4743
3,10,250,7,41687
3,10,404,8,37355
3,10,538,9,4872
3,10,1176,9,25848
3,10,270,6,1176
3,10,1158,9,6312
3,10,592,8,35103
3,10,218,7,34655
3,10,820,8,4328
3,10,1514,9,196
3,10,620,9,38178
3,10,6,2,12
3,10,1166,9,14536
3,10,1170,9,18238
3,10,26,3,1218
3,10,640,9,43328
3,10,682,9,47360
3,10,96,6,8641
3,10,306,7,35634
3,10,428,7,7619
3,10,420,7,6771
3,10,86,6,3279
3,10,1094,9,20529
3,10,98,5,15283
3,10,1180,9,27753
3,10,52,3,68
3,10,410,7,10735
3,10,268,6,1237
3,10,714,8,7731
3,10,1422,9,3260
3,10,404,7,10202
3,10,978,8,1
3,10,822,9,57444
3,10,1128,9,22853
3,10,132,5,4533
3,10,120,5,8210
3,10,980,9,32208
3,10,762,9,36771
3,10,20,2,162
3,10,854,8,1379
3,10,108,6,14760
3,10,1112,9,33646
3,10,1134,9,27970
3,10,300,8,14731
3,10,1470,9,255
3,10,918,8,233
3,10,568,7,2
3,10,1528,9,68
3,10,1232,9,13773
3,10,352,8,41077
3,10,746,8,6815
3,10,22,4,82
3,10,750,9,51165
3,10,338,8,30842
3,10,526,8,32104
3,10,614,9,37534
3,10,1046,9,28564
3,10,196,6,15420
3,10,336,7,27134
3,10,528,7,114
3,10,1136,9,25010
3,10,1474,9,341
3,10,74,4,2525
3,10,920,8,244
3,10,230,6,6553
3,10,126,6,24961
3,10,1144,9,20117
3,10,170,5,26
3,10,954,8,27
3,10,1140,9,19677
3,10,696,8,17056
3,10,362,7,18460
3,10,1500,9,879
3,10,102,5,13799
3,10,766,8,332
3,10,612,9,36609
3,10,1482,9,880
3,10,432,8,57354
3,10,958,8,14
3,10,114,5,10179
3,10,1218,9,6214
3,10,80,6,1265
3,10,482,7,1200
3,10,632,9,42314
3,10,810,9,50381
3,10,120,6,22037
3,10,292,8,10491
3,10,1164,9,11806
3,10,500,7,345
3,10,968,9,20343
3,10,380,8,41731
3,10,1434,9,8613
3,10,138,7,97
3,10,1352,9,6093
3,10,626,8,20739
3,10,478,8,56278
3,10,166,7,11571
3,10,284,8,6023
3,10,144,6,28676
3,10,966,8,6
3,10,442,8,53531
3,10,826,8,3366
3,10,646,9,33367
3,10,38,5,38
3,10,752,8,5764
3,10,248,6,4806
3,10,340,8,30080
3,10,818,9,55363
3,10,74,5,12931
3,10,976,9,38695
3,10,500,8,36037
3,10,292,6,106
3,10,1246,9,12706
3,10,222,6,11546
3,10,1516,9,232
3,10,1418,9,1240
3,10,590,9,28704
3,10,182,7,20575
3,10,1188,9,19336
3,10,664,8,22808
3,10,910,9,37539
3,10,270,7,38766
3,10,708,9,36124
3,10,650,8,8885
3,10,454,7,1205
3,10,832,8,1991
3,10,1290,9,1261
3,10,1450,9,5825
3,10,1216,9,10695
3,10,698,9,53637
3,10,1326,9,16969
3,10,334,8,28720
3,10,1392,9,5690
3,10,1438,9,10053
3,10,546,8,32798
3,10,224,7,41063
3,10,870,9,44498
3,10,1400,9,3634
3,10,254,7,44582
3,10,942,9,54932
3,10,678,9,44106
3,10,218,6,11388
3,10,28,3,1407
3,10,282,7,38354
3,10,1012,9,17118
3,10,680,9,46217
3,10,298,7,33732
3,10,798,8,8292
3,10,146,7,1683
3,10,774,9,15907
3,10,742,8,5232
3,10,162,7,9434
3,10,316,7,34138
3,10,792,8,7525
3,10,66,4,4391
3,10,356,7,17677
3,10,126,5,6970
3,10,578,9,26813
3,10,598,8,34719
3,10,1256,9,6771
3,10,220,7,36909
3,10,272,7,36208
3,10,1284,9,694
3,10,226,7,39386
3,10,932,8,156
3,10,602,9,34656
3,10,12,2,107
3,10,288,6,229
3,10,176,5,6
3,10,896,8,56
3,10,22,3,731
3,10,774,8,614
3,10,368,8,43826
3,10,168,7,12615
3,10,986,9,35944
3,10,260,6,1610
3,10,794,8,7779
3,10,198,7,25631
3,10,232,7,37986
3,10,1344,9,8519
3,10,678,8,17113
3,10,480,7,1863
3,10,388,7,7706
3,10,596,8,31790
3,10,400,7,11089
3,10,680,8,17691
3,10,92,5,15001
3,10,266,7,29430
